Time,PPG
0.000,391
0.034,400
0.083,419
0.103,423
0.139,421
0.172,413
0.208,408
0.255,413
0.279,419
0.315,419
0.348,424
0.382,445
0.415,511
0.462,592
0.487,636
0.522,631
0.557,579
0.596,516
0.632,454
0.665,414
0.703,397
0.734,409
0.770,428
0.804,443
0.849,438
0.872,431
0.914,415
0.947,412
0.980,418
1.014,42
1.047,42
1.082,44
1.120,51
1.160,60
1.192,65
1.227,63
1.267,57
1.298,49
1.330,43
1.368,40
1.399,39
1.433,41
1.471,43
1.505,45
1.542,45
1.571,43
1.608,43
1.641,43
1.677,42
1.711,42
1.746,43
1.789,43
1.826,46
1.853,54
1.886,61
1.926,65
1.956,62
1.994,56
2.027,49
2.063,43
2.096,39
2.131,39
2.166,41
2.201,43
2.237,44
2.274,44
2.306,43
2.341,42
2.379,42
2.416,42
2.451,43
2.481,43
2.520,43
2.557,43
2.596,43
2.622,46
2.661,52
2.697,60
2.735,65
2.770,62
2.846,56
2.847,50
2.867,45
2.901,42
2.937,40
2.972,41
3.006,43
3.043,45
3.077,44
3.115,44
3.148,43
3.182,42
3.219,42
3.260,43
3.287,43
3.326,43
3.359,43
3.397,44
3.429,43
3.470,45
3.497,50
3.531,58
3.566,64
3.601,65
3.637,60
3.673,53
3.706,47
3.741,44
3.776,42
3.816,42
3.846,43
3.881,45
3.920,45
3.953,44
3.986,43
4.021,43
4.059,42
4.096,42
4.130,42
4.163,42
4.201,42
4.232,43
4.268,44
4.301,44
4.337,44
4.371,46
4.406,51
4.445,59
4.477,62
4.511,62
4.549,56
4.581,50
4.619,43
4.652,41
4.695,40
4.722,42
4.757,44
4.795,45
4.829,45
4.862,44
4.912,41
4.934,42
4.969,42
5.002,42
5.047,43
5.079,44
5.107,44
5.145,44
5.194,44
5.215,45
5.252,51
5.283,57
5.322,60
5.355,60
5.388,55
5.428,50
5.457,46
5.495,43
5.536,43
5.563,44
5.601,44
5.647,45
5.667,44
5.701,45
5.737,43
5.771,43
5.806,43
5.842,43
5.877,42
5.915,42
5.947,43
5.982,43
6.017,46
6.053,53
6.086,59
6.121,63
6.160,62
6.224,57
6.229,51
6.262,46
6.296,43
6.331,40
6.371,42
6.401,46
6.436,48
6.481,50
6.506,48
6.547,46
6.576,42
6.615,42
6.646,40
6.681,40
6.721,40
6.751,40
6.786,40
6.830,40
6.859,40
6.897,45
6.927,54
6.964,63
6.999,68
7.032,65
7.067,59
7.104,52
7.137,47
7.185,46
7.207,46
7.242,49
7.277,50
7.311,49
7.346,47
7.381,44
7.416,41
7.454,40
7.499,40
7.524,41
7.559,42
7.593,41
7.627,40
7.662,39
7.696,39
7.734,40
11.044,54
11.083,47
11.114,42
11.149,38
11.185,38
11.228,39
11.254,42
11.293,44
11.331,46
11.375,46
11.394,44
11.433,42
11.468,39
11.502,38
11.535,38
11.570,40
11.605,42
11.639,49
11.676,59
11.718,66
11.746,66
11.786,61
11.818,55
11.851,47
11.885,41
11.926,38
11.957,40
12.004,44
12.024,46
12.064,48
12.096,48
12.134,46
12.169,45
12.201,43
12.236,43
12.270,41
12.305,38
12.339,36
12.374,20
12.410,40
12.445,51
12.479,62
12.516,66
12.551,64
12.584,57
12.620,47
12.687,40
12.700,37
12.724,40
12.763,44
12.811,47
12.835,45
12.865,41
12.903,38
12.936,37
12.970,39
13.014,43
13.045,45
13.076,46
13.110,48
13.145,52
13.179,58
13.214,60
13.253,58
13.285,53
13.322,47
13.356,44
13.389,43
13.426,43
13.459,44
13.502,45
13.532,45
13.570,45
13.601,44
13.636,44
13.669,44
13.704,44
13.740,44
13.774,44
13.810,47
13.847,54
13.879,63
13.920,69
13.954,68
13.991,60
14.023,52
14.054,46
14.097,43
14.135,43
14.164,43
14.197,44
14.235,45
14.267,45
14.304,44
14.336,43
14.370,42
14.413,42
14.447,42
14.476,42
14.509,42
14.544,42
14.584,43
14.615,49
14.650,61
14.685,69
14.719,70
14.755,62
14.789,54
14.825,46
14.864,41
14.901,39
14.929,40
14.968,42
15.001,44
15.040,44
15.071,44
15.107,41
15.140,40
15.177,40
15.209,40
15.244,40
15.280,41
15.314,41
15.349,43
15.390,50
15.434,60
15.457,68
15.497,67
15.531,60
15.564,51
15.600,43
15.636,38
15.665,38
15.700,40
15.736,42
15.776,44
15.807,44
15.839,44
15.874,43
15.910,42
15.944,42
15.989,42
16.018,43
16.049,44
16.087,52
16.119,62
16.154,69
16.189,66
16.224,59
16.259,50
16.298,42
16.332,38
16.366,37
16.400,40
16.438,42
16.470,43
16.509,43
16.551,42
16.574,42
16.613,42
16.645,43
16.679,43
16.717,42
16.753,45
16.785,52
16.829,63
16.855,70
16.889,69
16.926,60
16.961,51
16.996,44
17.032,40
17.066,38
17.101,41
17.135,43
17.191,45
17.228,45
17.269,44
17.293,43
17.329,43
17.394,42
17.412,42
17.433,43
17.666,48
17.669,59
17.671,68
17.673,72
17.675,66
17.677,57
17.679,47
17.770,41
17.774,37
17.808,37
17.847,40
17.860,44
17.889,46
17.923,46
17.958,44
18.072,42
18.075,42
18.079,43
18.102,43
18.135,42
18.168,47
18.204,58
18.299,70
18.301,75
18.308,68
18.347,57
18.382,47
18.416,39
18.451,20
18.486,35
18.522,38
18.559,42
18.621,44
18.637,44
18.671,43
18.724,41
18.744,40
18.791,39
18.804,40
18.833,41
18.870,46
18.905,57
18.942,65
18.981,67
19.012,61
19.045,52
19.081,43
19.114,38
19.151,36
19.184,38
19.219,42
19.253,43
19.291,43
19.363,43
19.365,42
19.405,42
19.438,42
19.467,41
19.505,41
19.537,44
19.570,53
19.609,62
19.643,67
19.676,65
19.712,58
19.748,48
19.788,40
19.815,36
19.848,36
19.884,38
19.921,42
19.966,45
19.991,45
20.029,45
20.061,42
20.094,42
20.134,42
20.167,42
20.198,42
20.243,49
20.270,59
20.305,65
20.340,64
20.389,59
20.414,52
20.446,45
20.489,41
20.516,39
20.553,40
20.589,43
20.638,46
20.654,47
20.690,46
20.723,45
20.760,44
20.793,43
20.829,43
20.878,42
20.901,42
20.939,46
20.970,55
21.005,65
21.042,70
21.077,67
21.111,60
21.144,54
21.188,48
21.216,44
21.248,42
21.284,43
21.324,44
21.354,45
21.389,44
21.428,42
21.463,40
21.493,40
21.530,40
21.568,41
21.598,43
21.635,47
21.671,55
21.713,62
21.740,65
21.774,61
21.812,54
21.846,47
21.881,42
21.915,40
21.949,41
21.989,43
22.019,43
22.054,43
22.089,44
22.124,44
22.159,43
22.205,43
22.230,43
22.266,43
22.304,46
22.334,54
22.373,64
22.407,69
22.445,65
22.479,55
22.510,45
22.545,39
22.579,35
22.666,36
22.669,40
22.685,43
22.725,44
22.756,44
22.799,43
22.826,43
22.859,43
22.897,43
22.928,43
22.963,42
23.002,42
23.033,46
23.078,56
23.105,64
23.143,68
23.175,64
23.217,56
23.251,50
23.284,46
23.315,45
23.349,45
23.384,47
23.423,48
23.457,49
23.488,48
23.523,46
23.558,45
23.595,43
23.630,43
23.663,44
23.699,44
23.736,44
23.768,45
23.804,53
23.841,64
23.876,73
23.911,72
23.947,63
23.980,54
24.014,46
24.052,42
24.086,40
24.129,42
24.156,45
24.189,46
24.224,46
24.258,44
24.294,41
24.332,39
24.366,39
24.398,40
24.439,42
24.469,43
24.503,44
24.542,47
24.578,55
24.609,65
24.646,71
24.683,67
24.715,57
24.751,47
24.784,41
24.818,37
24.853,37
24.888,40
24.923,44
24.961,44
24.995,44
25.031,43
25.067,41
25.104,41
25.137,41
25.172,42
25.206,43
25.240,43
25.276,45
25.311,53
25.343,63
25.379,70
25.416,68
25.448,60
25.483,51
25.521,43
25.553,40
25.589,40
25.626,41
25.667,43
25.694,43
25.729,42
25.768,40
25.798,39
25.839,40
25.871,40
25.908,41
25.942,42
25.974,43
26.014,50
26.051,61
26.079,69
26.115,70
26.148,63
26.183,54
26.225,46
26.256,41
26.290,39
26.324,40
26.361,42
26.396,44
26.431,45
26.464,44
26.503,43
26.538,42
26.572,41
26.613,42
26.641,43
26.676,42
26.710,42
26.743,42
26.780,46
26.814,57
26.852,66
26.883,70
26.931,67
26.962,59
26.999,52
27.024,46
27.058,41
27.099,42
27.128,45
27.165,48
27.198,48
27.239,48
27.274,46
27.323,43
27.357,41
27.395,41
27.427,41
27.465,40
27.499,40
27.534,40
27.569,40
27.602,45
27.638,56
27.674,67
27.718,73
27.751,69
27.784,62
27.822,56
27.851,52
27.889,48
27.921,45
27.956,42
27.992,39
28.026,38
28.062,40
28.092,43
28.129,45
28.162,43
28.197,41
28.233,38
28.271,38
28.305,41
28.337,41
28.374,42
28.408,44
28.447,51
28.477,61
28.512,66
28.552,65
28.588,59
28.624,53
28.653,46
28.688,41
28.724,39
28.759,42
28.799,45
28.828,47
28.863,47
28.901,44
28.933,40
28.970,38
29.003,37
29.042,37
29.074,36
29.107,37
29.147,40
29.177,44
29.213,53
29.254,61
29.285,63
29.324,59
29.353,50
29.390,41
29.432,37
29.473,39
29.497,42
29.529,44
29.564,45
29.609,44
29.637,43
29.667,43
29.703,43
29.747,44
29.775,44
29.810,44
29.848,47
29.882,54
29.922,61
29.952,65
29.984,62
30.020,56
30.055,48
30.096,43
30.123,38
30.160,40
30.193,42
30.227,43
30.262,43
30.297,43
30.334,43
30.368,43
30.402,44
30.438,42
30.482,43
30.515,48
30.549,59
30.581,69
30.619,72
30.653,66
30.684,55
30.721,45
30.763,40
30.790,36
30.826,36
30.860,38
30.895,41
30.927,41
30.963,42
31.002,42
31.034,41
31.071,40
31.109,39
31.139,40
31.178,45
31.212,56
31.243,65
31.282,69
31.317,66
31.350,58
31.385,49
31.420,43
31.454,38
31.487,37
31.522,40
31.557,42
31.593,42
31.629,41
31.675,41
31.701,40
31.735,40
31.767,40
31.813,40
31.838,43
31.878,51
31.912,62
31.943,68
31.978,66
32.021,59
32.050,50
32.085,43
32.117,38
32.152,38
32.188,39
32.222,42
32.258,44
32.292,44
32.327,43
32.370,42
32.402,41
32.435,40
32.470,41
32.516,46
32.540,57
32.573,67
32.608,70
32.645,66
32.677,57
32.715,49
32.748,42
32.785,38
32.818,38
32.854,41
32.889,43
32.923,43
32.958,42
32.992,41
33.028,40
33.062,40
33.098,41
33.137,41
33.167,43
33.203,52
33.242,64
33.279,72
33.309,72
33.347,64
33.388,53
33.413,44
33.447,38
33.485,37
33.518,38
33.556,41
33.589,43
33.625,44
33.657,43
33.692,43
33.728,41
33.762,40
33.804,41
33.836,41
33.867,42
33.904,48
33.938,60
33.983,71
34.012,74
34.046,68
34.083,59
34.115,49
34.150,41
34.184,36
34.217,37
34.253,39
34.287,42
34.322,44
34.358,43
34.394,42
34.434,41
34.474,41
34.502,40
34.532,39
34.577,39
34.602,40
34.638,43
34.679,52
34.713,62
34.744,68
34.779,66
34.816,59
34.850,50
34.885,42
34.921,36
34.953,35
34.987,38
35.023,41
35.059,44
35.092,44
35.128,43
35.163,42
35.198,41
35.236,40
35.272,41
35.303,42
35.338,42
35.373,46
35.410,56
35.447,62
35.479,64
35.515,59
35.548,51
35.583,43
35.617,40
35.654,38
35.690,38
35.722,40
35.760,41
35.793,41
35.827,41
35.865,40
35.907,39
35.932,40
35.969,41
36.007,42
36.038,46
36.078,54
36.111,62
36.148,64
36.181,60
36.216,52
36.251,45
36.284,42
36.318,41
36.354,42
36.387,43
36.423,45
36.459,45
36.493,44
36.527,43
36.562,43
36.600,42
36.634,42
36.670,43
36.702,46
36.740,56
36.773,66
36.808,71
36.846,66
36.882,58
36.914,49
36.948,43
36.983,40
37.017,40
37.053,42
37.092,42
37.124,43
37.157,43
37.195,41
37.239,40
37.263,40
37.298,40
37.344,41
37.370,42
37.409,47
37.461,65
37.494,72
37.529,72
37.564,64
37.605,56
37.634,47
37.699,42
37.710,40
37.753,40
37.779,44
37.808,46
37.857,46
37.877,44
37.914,42
37.955,40
37.981,40
38.026,39
38.058,38
38.091,38
38.128,40
38.163,48
38.194,59
38.232,65
38.262,64
38.301,57
38.338,49
38.368,43
38.401,38
38.438,37
38.471,38
38.506,41
38.545,43
38.577,43
38.615,42
38.647,41
38.688,41
38.724,40
38.751,39
38.795,40
38.827,45
38.888,55
38.896,64
38.931,68
38.961,63
38.998,54
39.037,45
39.066,38
39.101,36
39.138,38
39.172,40
39.212,43
39.244,45
39.282,44
39.313,43
39.348,42
39.384,41
39.416,41
39.453,41
39.491,46
39.524,56
39.556,65
39.598,69
39.628,65
39.664,55
39.697,46
39.733,40
39.769,37
39.802,38
39.836,41
39.875,43
39.915,44
39.943,43
39.978,41
40.011,40
40.055,40
40.082,40
40.120,41
40.152,42
40.186,46
40.227,56
40.259,72
40.294,83
40.330,83
40.368,77
40.403,64
40.432,55
40.468,49
40.502,50
40.536,53
40.579,54
40.607,54
40.642,53
40.676,51
40.718,47
40.746,42
40.781,37
40.825,36
40.852,35
40.893,20
40.927,20
40.974,20
40.994,40
41.027,53
41.064,70
41.096,80
41.131,74
41.166,59
41.203,44
41.236,37
41.271,20
41.313,35
41.351,38
41.376,43
41.412,46
41.453,49
41.482,48
41.521,44
41.553,39
41.590,35
41.622,20
41.658,20
41.692,36
41.727,38
41.763,40
41.796,40
41.831,39
41.866,44
41.905,57
41.936,72
41.971,80
42.007,73
42.049,60
42.076,45
42.113,36
42.152,20
42.183,37
42.219,41
42.256,43
42.289,45
42.325,44
42.359,43
42.394,43
42.427,43
42.462,44
42.499,44
42.536,42
42.566,41
42.605,40
42.644,39
42.672,44
42.711,56
42.745,68
42.794,70
42.815,63
42.847,54
42.887,47
42.923,44
42.979,42
42.991,43
43.035,44
43.063,42
43.096,40
43.127,38
43.176,20
43.197,20
43.241,38
43.266,42
43.307,44
43.342,45
43.372,44
43.408,45
43.443,45
43.492,48
43.512,56
43.546,70
43.595,83
43.623,83
43.657,72
43.695,58
43.724,43
43.761,20
43.797,20
43.828,20
43.861,41
43.899,46
43.936,47
43.973,45
44.004,42
44.038,40
44.074,39
44.109,40
44.144,40
44.179,40
44.212,40
44.252,41
44.284,45
44.316,55
44.351,67
44.389,73
44.422,67
44.457,51
44.492,36
44.526,20
44.561,20
44.597,20
44.631,37
44.672,42
44.716,44
44.737,44
44.773,42
44.818,40
44.843,39
44.878,39
44.921,40
44.948,39
44.983,40
45.025,42
45.054,52
45.090,63
45.124,70
45.157,67
45.191,58
45.232,47
45.261,39
45.299,37
45.333,39
45.372,43
45.407,46
45.444,46
45.472,46
45.510,44
45.554,42
45.591,41
45.616,41
45.652,42
45.686,43
45.720,49
45.751,60
45.790,72
45.823,79
45.860,73
45.891,59
45.926,47
45.961,40
45.996,35
46.031,38
46.067,44
46.102,45
46.143,41
46.196,40
46.213,38
46.251,38
46.288,40
46.319,42
46.438,43
46.444,45
46.449,53
46.454,66
46.489,77
46.523,79
46.556,70
46.593,60
46.626,50
46.664,43
46.696,39
46.731,40
46.768,42
46.809,45
46.840,45
46.872,44
46.922,43
46.942,41
46.987,40
47.025,38
47.053,37
47.087,42
47.119,55
47.154,68
47.189,72
47.222,65
47.260,53
47.292,43
47.339,37
47.361,20
47.399,36
47.449,39
47.467,43
47.503,45
47.540,43
47.600,41
47.626,39
47.660,38
47.702,38
47.730,41
47.768,51
47.804,64
47.837,72
47.872,72
47.907,65
47.940,55
47.975,44
48.014,38
48.048,37
48.082,38
48.115,41
48.154,43
48.203,44
48.221,43
48.255,42
48.296,39
48.326,20
48.361,20
48.401,20
48.435,45
48.469,62
48.505,72
48.536,72
48.575,63
48.606,52
48.642,42
48.679,35
48.712,35
48.745,38
48.785,41
48.817,44
48.853,45
48.887,44
48.922,43
48.957,42
48.992,41
49.026,44
49.084,55
49.117,72
49.130,83
49.167,81
49.214,69
49.239,56
49.272,45
49.305,38
49.345,20
49.379,20
49.437,38
49.445,46
49.484,49
49.517,49
49.554,45
49.585,41
49.633,37
49.655,36
49.692,37
49.730,44
49.763,61
49.800,81
49.853,84
49.869,84
49.903,72
49.937,55
49.980,41
50.018,20
50.042,20
50.075,37
50.115,43
50.145,48
50.182,46
50.216,41
50.250,36
50.285,20
50.321,20
50.359,35
50.391,38
50.435,45
50.465,56
50.502,68
50.533,72
50.569,65
50.601,53
50.637,42
50.672,35
50.711,20
50.740,38
50.782,42
50.816,44
50.849,43
50.882,40
50.915,37
50.961,35
50.986,40
51.023,50
51.068,60
51.090,69
51.132,83
51.173,84
51.202,84
51.235,84
51.266,69
51.300,45
51.336,20
51.370,20
51.432,20
51.443,20
51.475,37
51.510,41
51.545,40
51.580,38
51.624,38
51.655,38
51.686,40
51.733,38
51.761,20
51.798,20
51.831,44
51.865,58
51.899,62
51.932,60
51.976,53
52.006,47
52.037,43
52.070,40
52.107,40
52.140,41
52.176,43
52.210,44
52.248,45
52.280,45
52.315,44
52.350,44
52.400,44
52.420,44
52.455,43
52.493,42
52.533,46
52.560,57
52.609,69
52.649,78
52.683,73
52.706,62
52.747,52
52.781,43
52.815,38
52.847,37
52.880,40
52.913,42
52.946,42
52.992,41
53.018,39
53.057,38
53.089,40
53.122,40
